Xmm_RPC1,Ymm_RPC1,Q_RPC1,T_RPC1,EBtime_RPC1,Xmm_RPC2,Ymm_RPC2,Q_RPC2,T_RPC2,EBtime_RPC2,Xmm_RPC3,Ymm_RPC3,Q_RPC3,T_RPC3,EBtime_RPC3,Xmm_RPC4,Ymm_RPC4,Q_RPC4,T_RPC4,EBtime_RPC4
31.50119492560637,42.5689793654999,144.24902344,-60.849365235,739913.4596064815,,,,,,,,,,,,,,,
15.099192736945753,-12.015517831500198,45.708984369999996,-63.475585935,739913.4596064815,,,,,,,,,,,,,,,
194.55160167700342,10.887206524499597,59.3125,-67.357910155,739913.4596064815,,,,,,,,,,,,,,,
105.66564035210767,140.9002544130004,133.936767575,-59.71826172,739913.4596064815,,,,,,,,,,,,,,,
140.1175614752783,-66.69898938450011,124.70605469,-62.295166015,739913.4596180556,,,,,,,,,,,,,,,
229.00256504343145,44.6375490815002,172.67651367000002,-64.442382815,739913.4596180556,,,,,,,,,,,,,,,
10.723452095835434,-76.1510647065002,140.724121095,-66.869628905,739913.4596180556,,,,,,,,,,,,,,,
167.8221270359864,-47.398940302999904,13.891601565000002,-59.80004883,739913.4596296296,,,,,,,,,,,,,,,
207.09833626065966,-49.5367918654999,231.14746093500003,-66.16284179499999,739913.4596296296,,,,,,,,,,,,,,,
58.57653513365869,55.039780653499584,33.21557617,-61.668701174999995,739913.4596412037,,,,,,,,,,,,,,,
200.52055392026165,37.0659915910003,142.005615235,-59.88745117,739913.4596412037,,,,,,,,,,,,,,,
162.4806063914584,91.51192306799938,167.990234375,-66.15576172,739913.4596527778,,,,,,,,,,,,,,,
25.5902320220566,-8.600894441500701,167.30126953,-70.427490235,739913.4596527778,,,,,,,,,,,,,,,
31.32324399387621,56.1285005964997,25.552490235,-67.53393554499999,739913.4596643519,,,,,,,,,,,,,,,
115.91950442889465,-42.3512359850005,17.959228515,-61.75415039,739913.4596759259,,,,,,,,,,,,,,,
3.067160746914567,-89.56212338999948,49.33154297,-69.25854491999999,739913.4596759259,,,,,,,,,,,,,,,
121.34638867631591,10.946592557000594,145.05859375,-61.62109375,739913.4596875,,,,,,,,,,,,,,,
98.73121521291554,80.4762550095001,142.890625,-61.020263675,739913.4596875,,,,,,,,,,,,,,,
60.03749985593478,-10.6298738070006,84.70800781,-62.3359375,739913.4596875,,,,,,,,,,,,,,,
198.6186502307282,-39.4413822160003,35.228515625,-62.07495117,739913.4596875,,,,,,,,,,,,,,,
157.0455492388676,-112.6232081345001,237.654052735,-63.944580075,739913.459699074,,,,,,,,,,,,,,,
9.539772220665697,-16.023989384500098,31.02734375,-67.95825195500001,739913.459699074,,,,,,,,,,,,,,,
