2025 07 16 12 38 50  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   -110.9242 0000.0000 -112.0715 -111.8463  0000.0000 0000.0000 0000.0000 -113.5667   0093.1289 0000.0000 0090.2335 0101.8763  0000.0000 0000.0000 0000.0000 0105.2615   0000.0000 0000.0000 0000.0000 -108.2501  0000.0000 0000.0000 0000.0000 -111.1135   0000.0000 0000.0000 0000.0000 0099.4871  0000.0000 0000.0000 0000.0000 0096.5784
2025 07 16 12 38 50  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 -120.2121  0000.0000 0000.0000 0000.0000 -124.0078   0000.0000 0000.0000 0000.0000 0109.7234  0000.0000 0000.0000 0000.0000 0110.1983   0000.0000 0000.0000 0000.0000 -124.4266  0000.0000 0000.0000 0000.0000 -124.3511   0000.0000 0000.0000 0000.0000 0097.4627  0000.0000 0000.0000 0000.0000 0100.9205   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 12 38 51  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 -109.8428 -108.9196 0000.0000  0000.0000 -110.7357 -109.8739 0000.0000   0000.0000 0096.4530 0127.3029 0000.0000  0000.0000 0095.4937 0119.6577 0000.0000   -104.3230 -113.4678 -114.1315 0000.0000  -109.2618 -110.6136 -112.5624 -111.2549   0090.4781 0140.6146 0152.6221 0000.0000  0094.3983 0142.0386 0157.1339 0089.8745   -110.8556 -111.5198 -109.4368 0000.0000  -109.6323 -110.5717 -110.6779 0000.0000   0089.8508 0140.0518 0093.2692 0000.0000  0090.4526 0143.3984 0090.4863 0000.0000
2025 07 16 12 38 51  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   -108.2498 0000.0000 0000.0000 0000.0000  -109.5192 0000.0000 0000.0000 0000.0000   0092.8797 0000.0000 0000.0000 0000.0000  0101.9102 0000.0000 0000.0000 0000.0000   -112.4937 0000.0000 0000.0000 0000.0000  -110.0400 0000.0000 0000.0000 0000.0000   0106.6216 0000.0000 0000.0000 0000.0000  0111.0580 0000.0000 0000.0000 0000.0000   -109.6078 -110.6194 0000.0000 0000.0000  0000.0000 -110.9315 0000.0000 0000.0000   0089.4243 0120.3830 0000.0000 0000.0000  0000.0000 0122.9774 0000.0000 0000.0000
2025 07 16 12 38 51  1   -109.2503 0000.0000 0000.0000 0000.0000  -112.6752 0000.0000 0000.0000 0000.0000   0116.7742 0000.0000 0000.0000 0000.0000  0121.1411 0000.0000 0000.0000 0000.0000   -110.3805 -109.7031 0000.0000 0000.0000  -112.5256 -112.4897 0000.0000 0000.0000   0092.2047 0095.7158 0000.0000 0000.0000  0100.5845 0094.7059 0000.0000 0000.0000   -113.9907 0000.0000 0000.0000 0000.0000  -112.2188 0000.0000 0000.0000 0000.0000   0134.9584 0000.0000 0000.0000 0000.0000  0140.6432 0000.0000 0000.0000 0000.0000   0000.0000 -111.7584 0000.0000 0000.0000  0000.0000 -112.4001 0000.0000 0000.0000   0000.0000 0106.0559 0000.0000 0000.0000  0000.0000 0108.5421 0000.0000 0000.0000
2025 07 16 12 38 51  1   0000.0000 -113.4397 0000.0000 0000.0000  0000.0000 -117.8471 0000.0000 0000.0000   0000.0000 0098.9507 0000.0000 0000.0000  0000.0000 0109.3971 0000.0000 0000.0000   -116.3194 0000.0000 0000.0000 0000.0000  -118.7155 0000.0000 0000.0000 0000.0000   0104.6308 0000.0000 0000.0000 0000.0000  0113.6848 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 12 38 51  1   0000.0000 -117.7759 0000.0000 0000.0000  0000.0000 -121.2047 0000.0000 0000.0000   0000.0000 0114.6895 0000.0000 0000.0000  0000.0000 0125.8108 0000.0000 0000.0000   -120.0430 0000.0000 0000.0000 0000.0000  -120.8240 0000.0000 0000.0000 0000.0000   0094.7468 0000.0000 0000.0000 0000.0000  0103.7056 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 12 38 51  1   0000.0000 0000.0000 -118.1656 0000.0000  0000.0000 -120.3312 -121.1157 -121.9130   0000.0000 0000.0000 0165.4141 0000.0000  0000.0000 0095.7173 0162.0945 0089.8965   0000.0000 0000.0000 -118.5771 0000.0000  0000.0000 0000.0000 -120.8489 0000.0000   0000.0000 0000.0000 0141.6494 0000.0000  0000.0000 0000.0000 0134.5436 0000.0000   0000.0000 -122.5823 0000.0000 0000.0000  0000.0000 -121.5260 0000.0000 0000.0000   0000.0000 0117.0833 0000.0000 0000.0000  0000.0000 0117.9006 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 12 38 51  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   -102.3793 -111.8741 -113.6854 -111.9746  -108.0380 -108.8698 -112.0917 -111.6315   0085.2391 0101.8959 0212.3354 0262.0256  0092.5311 0102.4138 0217.9393 0263.1276   0000.0000 0000.0000 0000.0000 -108.7633  0000.0000 0000.0000 0000.0000 -110.4252   0000.0000 0000.0000 0000.0000 0116.6026  0000.0000 0000.0000 0000.0000 0114.9788
2025 07 16 12 38 51  1   -113.9075 0000.0000 0000.0000 0000.0000  -117.1974 0000.0000 0000.0000 0000.0000   0107.0000 0000.0000 0000.0000 0000.0000  0111.2863 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 -112.8548  0000.0000 0000.0000 -115.0916 -117.4732   0000.0000 0000.0000 0000.0000 0105.1946  0000.0000 0000.0000 0088.2365 0105.2714   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000
2025 07 16 12 38 51  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   -108.8616 -109.1158 0000.0000 -106.8207  -111.8783 -112.6683 0000.0000 -106.1163   0090.2637 0094.6581 0000.0000 0099.4058  0098.2881 0093.7605 0000.0000 0099.5407   0000.0000 -111.4575 -113.6854 -111.1430  0000.0000 0000.0000 -114.0374 -112.6147   0000.0000 0093.5208 0140.0319 0086.8550  0000.0000 0000.0000 0135.3138 0089.3828   0000.0000 0000.0000 0000.0000 -109.0197  0000.0000 0000.0000 0000.0000 -111.0502   0000.0000 0000.0000 0000.0000 0099.6368  0000.0000 0000.0000 0000.0000 0096.5678
2025 07 16 12 38 51  1   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   -111.1189 0000.0000 0000.0000 -111.6982  -111.8680 0000.0000 0000.0000 -116.8262   0090.2321 0000.0000 0000.0000 0108.9857  0099.2067 0000.0000 0000.0000 0108.9457   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 0000.0000  0000.0000 0000.0000 0000.0000 0000.0000   0000.0000 0000.0000 0000.0000 -112.0856  0000.0000 0000.0000 0000.0000 -113.9949   0000.0000 0000.0000 0000.0000 0098.0342  0000.0000 0000.0000 0000.0000 0095.7521
