time_start,time_end,efficiency,efficiency_error,Qmean,Qmean_error,Qmedian,Qmedian_error,Qmean_noST,Qmean_noST_error,Qmedian_noST,Qmedian_noST_error,streamer_fraction,streamer_fraction_error
2025-10-23 11:00:49.150632,2025-10-23 11:01:19.380130,0.9107142857142857,0.026944681344741848,95.25320255055146,6.250278296469664,109.1234130859375,59.15283203125,35.5536279296875,2.412807174354706,32.88330078125,12.829345703125,50.98039215686274,4.949785924484326
2025-10-23 11:01:16.213139,2025-10-23 11:01:41.953615,0.889763779527559,0.027790583032079985,110.98317374170354,6.351861040969707,126.055908203125,60.478271484375,33.98982932350852,2.8258935528459572,30.5584716796875,11.4085693359375,61.06194690265487,4.587047299380162
2025-10-23 11:01:45.950686,2025-10-23 11:02:17.899406,0.9495798319327731,0.020058313040007138,104.62301014587942,6.583234687690255,126.35595703125,72.46044921875,29.346520248724488,1.769996340800428,28.18212890625,9.016845703125,56.63716814159292,4.661979524732872
2025-10-23 11:02:10.392326,2025-10-23 11:02:37.198970,0.944,0.02056482433671633,77.72188244835804,5.873381175109498,40.5941162109375,24.2109375,30.390153440710616,1.69978071151102,28.150146484375,10.110595703125,38.13559322033898,4.4714118762997765
2025-10-23 11:02:45.224122,2025-10-23 11:03:15.978763,0.8952380952380953,0.029886586905860393,97.17210355718085,6.543150326261865,117.7528076171875,61.8101806640625,31.650350881177324,2.3659850447041104,29.0673828125,12.77685546875,54.255319148936174,5.138395580107374
2025-10-23 11:03:12.274659,2025-10-23 11:03:41.986075,0.9396551724137931,0.022109314890155465,83.65935663345756,5.913248110586708,47.669189453125,35.00439453125,27.84209994612069,1.4192143514205646,25.96875,6.6341552734375,46.788990825688074,4.779245478127931
2025-10-23 11:03:42.204350,2025-10-23 11:04:12.251462,0.9495798319327731,0.020058313040007138,107.74498971584624,6.341244599850418,127.278076171875,59.501220703125,29.530617453835227,2.033915221328488,25.7015380859375,8.4327392578125,61.06194690265487,4.587047299380162
2025-10-23 11:04:13.804450,2025-10-23 11:04:38.907473,0.9150943396226415,0.027073744367693203,101.80316980106315,6.772332812169714,125.674072265625,58.32958984375,33.60787686434659,2.552277643906561,29.6727294921875,8.263671875,54.63917525773196,5.054831365464019
2025-10-23 11:04:41.593507,2025-10-23 11:05:12.342526,0.9606299212598425,0.01725676305632936,98.758544921875,6.1040387708705115,122.1004638671875,65.6689453125,28.929660866477274,1.994043748036452,26.962158203125,7.9794921875,54.91803278688525,4.5048361567585005
2025-10-23 11:05:06.038818,2025-10-23 11:05:33.714116,0.9416666666666667,0.021395201088786935,106.31317624792588,11.239488480495634,120.871826171875,66.26318359375,30.00107790389151,2.2295334724022586,26.750732421875,8.005859375,53.097345132743364,4.694570817490211
2025-10-23 11:05:38.006096,2025-10-23 11:06:03.687017,0.9398496240601504,0.020616860793499316,88.050224609375,5.868257048803938,62.10302734375,49.400146484375,29.792384292140152,1.8800420876529056,25.6021728515625,6.9659423828125,47.2,4.465118139534496
